county 	Howard County	IA		9566
county 	Humboldt County	IA		9815
county 	Ida County	IA		7089
county 	Iowa County	IA		16355
county 	Jackson County	IA		19848
county 	Jasper County	IA		36842
county 	Jefferson County	IA		16843
county 	Johnson County	IA		130882
county 	Jones County	IA		20638
county 	Keokuk County	IA		10511
county 	Kossuth County	IA		15543
county 	Lee County	IA		35862
county 	Linn County	IA		211226
county 	Louisa County	IA		11387
county 	Lucas County	IA		8898
county 	Lyon County	IA		11581
county 	Madison County	IA		15679
county 	Mahaska County	IA		22381
county 	Marion County	IA		33309
county 	Marshall County	IA		40648
county 	Mills County	IA		15059
county 	Mitchell County	IA		10776
county 	Monona County	IA		9243
county 	Monroe County	IA		7970
county 	Montgomery County	IA		10740
county 	Muscatine County	IA		42745
county 	O'Brien County	IA		14398
county 	Osceola County	IA		6462
county 	Page County	IA		15932
county 	Palo Alto County	IA		9421
county 	Plymouth County	IA		24986
county 	Pocahontas County	IA		7310
county 	Polk County	IA		430640
county 	Pottawattamie County	IA		93158
county 	Poweshiek County	IA		18914
county 	Ringgold County	IA		5131
county 	Sac County	IA		10350
county 	Scott County	IA		165224
county 	Shelby County	IA		12167
county 	Sioux County	IA		33704
county 	Story County	IA		89542
county 	Tama County	IA		17767
county 	Taylor County	IA		6317
county 	Union County	IA		12534
county 	Van Buren County	IA		7570
county 	Wapello County	IA		35625
county 	Warren County	IA		46225
county 	Washington County	IA		21704
county 	Wayne County	IA		6403
county 	Webster County	IA		38013
county 	Winnebago County	IA		10866
county 	Winneshiek County	IA		21056
county 	Woodbury County	IA		102172
county 	Worth County	IA		7598
county 	Wright County	IA		13229
county 	Allen County	KS		13371
county 	Anderson County	KS		8102
county 	Atchison County	KS		16924
county 	Barber County	KS		4861
county 	Barton County	KS		27674
county 	Bourbon County	KS		15173
county 	Brown County	KS		9984
county 	Butler County	KS		65880
county 	Chase County	KS		2790
county 	Chautauqua County	KS		3669
county 	Cherokee County	KS		21603
county 	Cheyenne County	KS		2726
county 	Clark County	KS		2215
county 	Clay County	KS		8535
county 	Cloud County	KS		9533
county 	Coffey County	KS		8601
county 	Comanche County	KS		1891
county 	Cowley County	KS		36311
county 	Crawford County	KS		39134
county 	Decatur County	KS		2961
county 	Dickinson County	KS		19754
county 	Doniphan County	KS		7945
county 	Douglas County	KS		110826
county 	Edwards County	KS		3037
county 	Elk County	KS		2882
county 	Ellis County	KS		28452
county 	Ellsworth County	KS		6497
county 	Finney County	KS		36776
county 	Ford County	KS		33848
county 	Franklin County	KS		25992
county 	Geary County	KS		34362
