Area Name	Place Name	Location	Place Pop	Area Pop	What	In Dict
	Lake Charles	LA	71993		city 	y
Panama City		FL		143280	Urbanized Area	y
	Panama City	FL	36484		city 	y
Frederick		MD		141576	Urbanized Area	Y
	Frederick	MD	65239		city 	Y
Fredericksburg		VA		141238	Urbanized Area	n
	Fredericksburg	VA	24286		city 	n
Arecibo		PR		139171	Urbanized Area	n
	Arecibo	PR	44191		zona urbana 	n
Tuscaloosa		AL		139114	Urbanized Area	Y
	Tuscaloosa	AL	90468		city 	Y
Macon		GA		137570	Urbanized Area	Y
	Macon	GA	91351		city 	Y
Merced		CA		136969	Urbanized Area	n
	Merced	CA	78958		city 	n
Pueblo		CO		136550	Urbanized Area	Y
	Pueblo	CO	106595		city 	Y
Harlingen		TX		135663	Urbanized Area	n
	Harlingen	TX	64849		city 	n
Yuma		AZ/CA		135267	Urbanized Area	Y
	Yuma	AZ	93064		city 	Y
Racine		WI		133700	Urbanized Area	Y
	Racine	WI	78860		city 	Y
Fairfield		CA		133683	Urbanized Area	n
	Fairfield	CA	105321		city 	n
Murfreesboro		TN		133228	Urbanized Area	n
	Murfreesboro	TN	108755		city 	n
Warner Robins		GA		133109	Urbanized Area	y
	Warner Robins	GA	66588		city 	y
Bloomington/Normal		IL		132600	Urbanized Area	p
	Bloomington	IL	76610		city 	n
	Normal	IL	52497		town 	y
Leesburg/Eustis/Tavares		FL		131337	Urbanized Area	n
	Leesburg	FL	20117		city 	n
	Eustis	FL	18558		city 	n
	Tavares	FL	13951		city 	n
Gainesville		GA		130846	Urbanized Area	n
	Gainesville	GA	33804		city 	n
Santa Maria		CA		130447	Urbanized Area	Y
	Santa Maria	CA	99553		city 	Y
Tyler		TX		130247	Urbanized Area	Y
	Tyler	TX	96900		city 	Y
Yakima		WA		129534	Urbanized Area	Y
	Yakima	WA	91067		city 	Y
Athens-Clarke County		GA		128754	Urbanized Area	y
	Athens-Clarke County	GA	115452		unified government (balance)	y
Las Cruces		NM		128600	Urbanized Area	n
	Las Cruces	NM	97618		city 	p
Grand Junction		CO		128124	Urbanized Area	y
	Grand Junction	CO	58566		city 	y
Odessa		TX		126405	Urbanized Area	Y
	Odessa	TX	99940		city 	Y
Saginaw		MI		126265	Urbanized Area	Y
	Saginaw	MI	51508		city 	Y
Simi Valley		CA		125206	Urbanized Area	n
	Simi Valley	CA	124237		city 	p
Columbia		MO		124748	Urbanized Area	Y
	Columbia	MO	108500		city 	Y
Kenosha		WI/IL		124064	Urbanized Area	n
	Kenosha	WI	99218		city 	n
Fort Smith		AR/OK		122947	Urbanized Area	y
	Fort Smith	AR	86209		city 	y
Mauldin/Simpsonville		SC		120577	Urbanized Area	n
	Mauldin	SC	22889		city 	n
	Simpsonville	SC	18238		city 	n
Johnson City		TN		120415	Urbanized Area	y
	Johnson City	TN	63152		city 	y
Duluth		MN/WI		120378	Urbanized Area	Y
	Duluth	MN	86265		city 	Y
Burlington		NC		119911	Urbanized Area	Y
	Burlington	NC	49963		city 	Y
South Lyon/Howell		MI		119509	Urbanized Area	Y
	South Lyon	MI	11327		city 	Y
	Howell	MI	9489		city 	Y
San Germán/Cabo Rojo/Sabana Grande		PR		118199	Urbanized Area	p
	San Germán	PR	10989		zona urbana 	y
	Cabo Rojo	PR	9803		zona urbana 	n
	Sabana Grande	PR	8179		zona urbana 	n
Greeley		CO		117825	Urbanized Area	Y
	Greeley	CO	92889		city 	Y
Midland		TX		117807	Urbanized Area	Y
	Midland	TX	111147		city 	Y
Greenville		NC		117798	Urbanized Area	n
	Greenville	NC	84554		city 	n
Redding		CA		117731	Urbanized Area	n
	Redding	CA	89861		city 	n
Utica		NY		117328	Urbanized Area	n
	Utica	NY	62235		city 	n
Leominster/Fitchburg		MA		116960	Urbanized Area	n
	Leominster	MA	40759		city 	n
	Fitchburg	MA	40318		city 	n
